Genotype,SnakeMuscle,Baseline_force,Fmax,Time_to_Fmax,Time_to_0.1Fmax,Time_to_0.5relax,Contraction_Duration_10_to_50,dFdtmax,dFdtmin,Time_to_dFdtmax,Time_to_dFdtmin,Contraction_Duration_max_to_min,MAMU,SVLmm,MuscleMass,BodyMass,Days_in_Captivity,Sex
WTa,CRF3621-M1,3.629066503,0.754590156,49.6,10.6,93.4,82.8,32.93855486,-11.25287213,13.7,81.7,68,1.89,630,0.0623,63,68,M
WTa,CRF3359-M1,2.357428252,0.224360666,21.9,5.1,38.7,33.6,20.6702618,-9.122870049,6.2,33.5,27.3,,,,,,
WTa,CRF3605-M1,2.133935934,0.220775871,34.7,11.3,66.5,55.2,14.35621783,-4.035937162,15.3,53.1,37.8,,,,,,
WTa,CRF3606-M1,1.383891548,0.271983261,35.1,11.4,58.1,46.7,21.04818492,-12.64626806,12.1,58,45.9,,,,,,
WTa,CRF3607-M1,4.052562721,0.099185299,36.8,10.2,54.3,44.1,6.418557749,-4.367085331,13.8,48,34.2,,,,,,
WTa,CRF3608-M1,1.867432198,0.196292592,36.7,9.9,94.7,84.8,21.02565284,-12.64535807,12.7,65.8,53.1,,,,,,
WTa,CRF3609-M2,1.830687977,0.161436556,36.6,9.6,66.8,57.2,16.01428984,-14.12376562,11.3,,-11.2,,,,,,
WTa,CRF3610-M1,4.919436873,0.533820581,34.2,10,59,49,32.7059178,-13.4687075,11.8,48.8,37,,,,,,
WTa,CRF3611-M1,6.813839845,0.396253827,40.8,11.8,67.8,56,19.84965389,-9.924271548,14.4,54.1,39.7,,,,,,
WTa,CRF3613-M1,4.53474802,0.839084519,40.4,9,81.6,72.6,44.5883201,-13.08230112,10.5,69.9,59.4,,,,,,
WTa,CRF3614-M1,5.622341442,0.308132889,30.7,9.5,49.1,39.6,20.71245401,-11.23510595,10.7,42.5,31.8,,,,,,
WTa,CRF3615-M1,2.23298503,0.474884477,48.4,13.6,85.3,71.7,24.02173739,-12.85831103,15.2,72.6,57.4,,,,,,
WTa,CRF3617-M2,2.753426785,0.412258295,41.6,11.6,72.4,60.8,18.65348521,-8.562207657,17.4,65,47.6,,,,,,
WTa,CRF3618-M1,3.278184927,0.712114835,32.6,8.5,58.8,50.3,59.06283448,-18.70851505,8.5,44.3,35.8,,,,,,
WTa,CRF3619-M1,3.065226501,0.388674536,31.2,9.7,54,44.3,29.42745664,-11.59273527,11.7,40.7,29,,,,,,
WTa,CRF3620-M1,2.865720122,0.950650115,47.8,9,79,70,47.04953538,-19.67862345,8.8,66.4,57.6,,,,,,
WTa,CRF3621-M1,3.564428859,0.764764775,49.6,10.4,94.1,83.7,32.93855486,-11.25287213,13.7,81.7,68,,,,,,
WTa,CRF3359-M1,2.350519989,0.224718169,21.9,5.1,38.8,33.7,20.6702618,-9.122870049,6.2,33.5,27.3,,,,,,
WTa,CRF3605-M1,2.144438759,0.218616594,34.7,11.4,66.5,55.1,14.35621783,-4.035937162,15.3,53.1,37.8,,,,,,
WTa,CRF3606-M1,1.373191063,0.274530249,35.1,11.2,58.1,46.9,21.04818492,-12.64626806,12.1,58,45.9,,,,,,
WTa,CRF3607-M1,4.060859031,0.098667748,36.8,10.3,53.9,43.6,6.418557749,-4.367085331,13.8,48,34.2,,,,,,
WTa,CRF3608-M1,1.861239272,0.198100088,36.7,9.9,94.8,84.9,21.02565284,-12.64535807,12.7,65.8,53.1,,,,,,
WTa,CRF3609-M2,1.8221032,0.162551627,36.6,9.5,66.8,57.3,16.01428984,-14.12376562,11.3,,-11.2,,,,,,
WTa,CRF3610-M1,5.017065565,0.522739442,34.2,10.3,58.3,48,32.7059178,-13.4687075,11.8,48.8,37,,,,,,
WTa,CRF3611-M1,6.712898518,0.403736036,40.8,11.4,68.1,56.7,19.84965389,-9.924271548,14.4,54.1,39.7,,,,,,
WTa,CRF3613-M1,4.451116358,0.853574739,40.4,8.7,82.3,73.6,44.5883201,-13.08230112,10.5,69.9,59.4,,,,,,
WTa,CRF3614-M1,5.589320466,0.310998598,30.7,9.4,49.2,39.8,20.71245401,-11.23510595,10.7,42.5,31.8,,,,,,
WTa,CRF3615-M1,2.216618875,0.476695957,48.4,13.6,85.8,72.2,24.02173739,-12.85831103,15.2,72.6,57.4,,,,,,
WTa,CRF3617-M2,2.727309198,0.418256563,41.6,11.6,72.4,60.8,18.65348521,-8.562207657,17.4,65,47.6,,,,,,
WTa,CRF3618-M1,3.287512427,0.711365683,32.6,8.5,58.8,50.3,59.06283448,-18.70851505,8.5,44.3,35.8,,,,,,
WTa,CRF3619-M1,3.023319786,0.392048628,31.2,9.7,54.1,44.4,29.42745664,-11.59273527,11.7,40.7,29,,,,,,
WTa,CRF3620-M1,2.772969023,0.963794299,47.8,8.7,79.5,70.8,47.04953538,-19.67862345,8.8,66.4,57.6,,,,,,
WTa,CRF3621-M1,3.501149651,0.774725562,49.6,10,94.7,84.7,32.93855486,-11.25287213,13.7,81.7,68,,,,,,
WTa,CRF3359-M1,2.334575099,0.225543319,21.9,5,38.8,33.8,20.6702618,-9.122870049,6.2,33.5,27.3,,,,,,
WTa,CRF3605-M1,2.153798139,0.216692397,34.7,11.6,66.5,54.9,14.35621783,-4.035937162,15.3,53.1,37.8,,,,,,
WTa,CRF3606-M1,1.362134598,0.277161969,35.1,10.5,58.3,47.8,21.04818492,-12.64626806,12.1,58,45.9,,,,,,
